scenario;indicator;category;unit;mid;end_point_factor;end_point;end_point_unit;end
ldv_total_bike share 0.47263520008;Road_accidents;health;DALY;9.80E+07;1;health;DALY;9.80E+07
ldv_total_bike share 0.47263520008;Road_accidents;health;premature death;1.61E+06;1;health;premature death;1.61E+06
ldv_total_bike share 0.47263520008;Road_noise;health;DALY;2.67E+07;1;health;DALY;2.67E+07
ldv_total_bike share 0.47263520008;air_pollution_cost;economic;$;2.88E+12;1;economic;$;2.88E+12
ldv_total_bike share 0.47263520008;air_pollution;health;DALY;3.72E+07;1;health;DALY;3.72E+07
ldv_total_bike share 0.47263520008;air_pollution_direct_cost;economic;$;1.92E+11;1;economic;$;1.92E+11
ldv_total_bike share 0.47263520008;air_pollution_indirect_cost;economic;$;2.69E+12;1;economic;$;2.69E+12
ldv_total_bike share 0.47263520008;air_pollution;health;premature death;1.56E+06;1;health;premature death;1.56E+06
ldv_total_bike share 0.47263520008;fossil depletion;ressources;kg oil eq;8.14E+11;1;ressources;kg oil eq;8.14E+11
ldv_total_bike share 0.47263520008;metal depletion;ressources;kg Fe eq;5.40E+11;1;ressources;kg Fe eq;5.40E+11
ldv_total_bike share 0.47263520008;urban land occupation;ressources;m2a;8.05E+10;1;ressources;m2a;8.05E+10
